Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],,
2019,YR2019,Indonesia,IDN,1.12E+12,4135.569263,,
2019,YR2019,"Iran, Islamic Rep.",IRN,..,..,,
2019,YR2019,Iraq,IRQ,2.34E+11,5955.10901,,
2019,YR2019,Ireland,IRL,3.89E+11,78778.99477,,
2019,YR2019,Isle of Man,IMN,..,..,,
2019,YR2019,Israel,ISR,3.95E+11,43588.71331,,
2019,YR2019,Italy,ITA,2.00E+12,33225.64849,,
2019,YR2019,Jamaica,JAM,16458071068,5582.263778,,
2019,YR2019,Japan,JPN,5.08E+12,40246.88013,,
2019,YR2019,Jordan,JOR,44502895862,4405.488412,,
2019,YR2019,Kazakhstan,KAZ,1.82E+11,9812.526588,,
2019,YR2019,Kenya,KEN,95503088538,1816.546916,,
2019,YR2019,Kiribati,KIR,194647201.9,1655.078839,,
2019,YR2019,"Korea, Dem. People's Rep.",PRK,..,..,,
2019,YR2019,"Korea, Rep.",KOR,1.65E+12,31846.21823,,
2019,YR2019,Kosovo,XKX,7926133714,4430.784947,,
2019,YR2019,Kuwait,KWT,1.35E+11,32000.44847,,
2019,YR2019,Kyrgyz Republic,KGZ,8454619608,1309.53496,,
2019,YR2019,Lao PDR,LAO,18173839147,2534.89828,,
2019,YR2019,Latvia,LVA,34102913582,17819.27138,,
2019,YR2019,Lebanon,LBN,51991634492,7583.694722,,
2019,YR2019,Lesotho,LSO,2376328637,1118.131284,,
2019,YR2019,Liberia,LBR,3070518100,621.8929536,,
2019,YR2019,Libya,LBY,52091152228,7685.949267,,
2019,YR2019,Liechtenstein,LIE,..,..,,
2019,YR2019,Lithuania,LTU,54627411860,19550.72778,,
2019,YR2019,Luxembourg,LUX,71104919108,114685.1684,,
2019,YR2019,"Macao SAR, China",MAC,53859116536,84096.39631,,
2019,YR2019,Madagascar,MDG,14114631281,523.3590645,,
2019,YR2019,Malawi,MWI,7666704427,411.5523404,,
2019,YR2019,Malaysia,MYS,3.65E+11,11414.20698,,
2019,YR2019,Maldives,MDV,5642179170,10626.5134,,
2019,YR2019,Mali,MLI,17279566719,879.0080104,,
2019,YR2019,Malta,MLT,14989415684,29737.24598,,
2019,YR2019,Marshall Islands,MHL,..,..,,
2019,YR2019,Mauritania,MRT,7600656944,1679.444873,,
2019,YR2019,Mauritius,MUS,14048430519,11099.24028,,
2019,YR2019,Mexico,MEX,1.27E+12,9946.033829,,
2019,YR2019,"Micronesia, Fed. Sts.",FSM,..,..,,
2019,YR2019,Moldova,MDA,11968713370,4494.023797,,
2019,YR2019,Monaco,MCO,..,..,,
2019,YR2019,Mongolia,MNG,13996719329,4339.843279,,
2019,YR2019,Montenegro,MNE,5542577965,8910.495934,,
2019,YR2019,Morocco,MAR,1.20E+11,3204.095003,,
2019,YR2019,Mozambique,MOZ,15291448212,503.5707727,,
2019,YR2019,Myanmar,MMR,76085852617,1407.813143,,
2019,YR2019,Namibia,NAM,12366528259,4957.458222,,
2019,YR2019,Nauru,NRU,118223430.1,9396.981967,,
2019,YR2019,Nepal,NPL,30641380604,1071.050761,,
2019,YR2019,Netherlands,NLD,9.07E+11,52295.03905,,
2019,YR2019,New Caledonia,NCL,..,..,,
2019,YR2019,New Zealand,NZL,2.07E+11,41557.80241,,
2019,YR2019,Nicaragua,NIC,12520915291,1912.903745,,
2019,YR2019,Niger,NER,12911689659,553.8950504,,
2019,YR2019,Nigeria,NGA,4.48E+11,2229.858696,,
2019,YR2019,North Macedonia,MKD,12547040499,6022.216179,,
2019,YR2019,Northern Mariana Islands,MNP,..,..,,
2019,YR2019,Norway,NOR,4.03E+11,75419.63487,,
2019,YR2019,Oman,OMN,76331518669,15343.062,,
2019,YR2019,Pakistan,PAK,2.78E+11,1284.702041,,
2019,YR2019,Palau,PLW,268354919.4,14901.98353,,
2019,YR2019,Panama,PAN,66800800000,15731.01603,,
2019,YR2019,Papua New Guinea,PNG,24829107011,2829.170309,,
2019,YR2019,Paraguay,PRY,38145288940,5414.799138,,
2019,YR2019,Peru,PER,2.27E+11,6977.695784,,
2019,YR2019,Philippines,PHL,3.77E+11,3485.084218,,
2019,YR2019,Poland,POL,5.96E+11,15694.73863,,
2019,YR2019,Portugal,PRT,2.39E+11,23213.9782,,
2019,YR2019,Puerto Rico,PRI,1.05E+11,32873.71927,,
2019,YR2019,Qatar,QAT,1.76E+11,62088.06183,,
2019,YR2019,Romania,ROU,2.50E+11,12913.07396,,
2019,YR2019,Russian Federation,RUS,1.70E+12,11584.99538,,
2019,YR2019,Rwanda,RWA,10354417725,820.0252417,,
2019,YR2019,Samoa,WSM,852250191,4324.014018,,
2019,YR2019,San Marino,SMR,..,..,,
2019,YR2019,Sao Tome and Principe,STP,418637389,1946.643614,,
2019,YR2019,Saudi Arabia,SAU,7.93E+11,23139.79866,,
2019,YR2019,Senegal,SEN,23578084052,1446.830965,,
2019,YR2019,Serbia,SRB,51475016532,7411.558649,,
2019,YR2019,Seychelles,SYC,1703387387,17448.27029,,
2019,YR2019,Sierra Leone,SLE,4121733705,527.5336344,,
2019,YR2019,Singapore,SGP,3.72E+11,65233.28244,,
2019,YR2019,Sint Maarten (Dutch part),SXM,..,..,,
2019,YR2019,Slovak Republic,SVK,1.05E+11,19266.0141,,
2019,YR2019,Slovenia,SVN,54174227309,25940.72803,,
2019,YR2019,Solomon Islands,SLB,1589913622,2373.63247,,
2019,YR2019,Somalia,SOM,4942319041,320.038169,,
2019,YR2019,South Africa,ZAF,3.51E+11,6001.401121,,
2019,YR2019,South Sudan,SSD,..,..,,
2019,YR2019,Spain,ESP,1.39E+12,29564.7449,,
2019,YR2019,Sri Lanka,LKA,84008783756,3853.083693,,
2019,YR2019,St. Kitts and Nevis,KNA,1053244444,19934.97453,,
2019,YR2019,St. Lucia,LCA,2122450630,11611.41545,,
2019,YR2019,St. Martin (French part),MAF,..,..,,
2019,YR2019,St. Vincent and the Grenadines,VCT,824718518.5,7457.509504,,
2019,YR2019,Sudan,SDN,30513456085,441.5056034,,
2019,YR2019,Suriname,SUR,3697371950,6359.833614,,
2019,YR2019,Sweden,SWE,5.31E+11,51647.99156,,
2019,YR2019,Switzerland,CHE,7.03E+11,81989.44351,,
2019,YR2019,Syrian Arab Republic,SYR,..,..,,
2019,YR2019,Tajikistan,TJK,8116626794,870.7875893,,
2019,YR2019,Tanzania,TZA,63177068175,1122.12181,,
2019,YR2019,Thailand,THA,5.44E+11,7806.742211,,
2019,YR2019,Timor-Leste,TLS,2017924900,1560.509822,,
2019,YR2019,Togo,TGO,5490272413,679.2902491,,
2019,YR2019,Tonga,TON,512350059.4,4903.152903,,
2019,YR2019,Trinidad and Tobago,TTO,24269714810,17397.98176,,
2019,YR2019,Tunisia,TUN,38796687568,3317.453593,,
2019,YR2019,Turkey,TUR,7.61E+11,9126.561346,,
2019,YR2019,Turkmenistan,TKM,..,..,,
2019,YR2019,Turks and Caicos Islands,TCA,1197415000,31353.32932,,
2019,YR2019,Tuvalu,TUV,47271463.33,4059.029996,,
2019,YR2019,Uganda,UGA,35165157017,794.3410779,,
2019,YR2019,Ukraine,UKR,1.54E+11,3659.031312,,
2019,YR2019,United Arab Emirates,ARE,4.21E+11,43103.32306,,
2019,YR2019,United Kingdom,GBR,2.83E+12,42328.90026,,
2019,YR2019,United States,USA,2.14E+13,65297.51751,,
2019,YR2019,Uruguay,URY,56045912953,16190.12696,,
2019,YR2019,Uzbekistan,UZB,57921286440,1724.856544,,
2019,YR2019,Vanuatu,VUT,934239973.8,3115.35862,,
2019,YR2019,"Venezuela, RB",VEN,..,..,,
2019,YR2019,Vietnam,VNM,2.62E+11,2715.276036,,
2019,YR2019,Virgin Islands (U.S.),VIR,..,..,,
2019,YR2019,West Bank and Gaza,PSE,..,..,,
2019,YR2019,"Yemen, Rep.",YEM,22581081994,774.3344898,,
2019,YR2019,Zambia,ZMB,23309773923,1305.063254,,
2019,YR2019,Zimbabwe,ZWE,21440758800,1463.98591,,
